epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,484.466,1.86949,2.97023,1.9533,0.36833,0.256,0.18317,0.08507,1.8332,18.9443,2.05719,0.000661578,0.000661578,0.000661578
2,993.556,1.84986,2.46862,1.87549,0.36558,0.376,0.25847,0.08392,1.90749,14.508,2.12954,0.00129537,0.00129537,0.00129537
3,1476.98,1.90425,2.32113,1.92844,0.35051,0.44,0.37121,0.1442,1.78917,18.3856,1.95341,0.00189616,0.00189616,0.00189616
4,1848.79,1.86526,2.08954,1.87968,0.50701,0.54303,0.44708,0.17941,1.78046,7.28311,1.98166,0.0018515,0.0018515,0.0018515
5,2207,1.81189,1.99849,1.88784,0.45329,0.472,0.42047,0.17914,1.77484,4.64184,1.8724,0.001802,0.001802,0.001802
6,2561.07,1.79963,1.91126,1.83284,0.37873,0.4,0.30407,0.12081,1.86163,8.36273,2.03778,0.0017525,0.0017525,0.0017525
7,2910.95,1.7657,1.76572,1.81923,0.60474,0.544,0.53434,0.20136,1.67196,5.7029,1.82969,0.001703,0.001703,0.001703
8,3261.02,1.66245,1.68143,1.7259,0.60363,0.47517,0.54295,0.23689,1.67175,3.72558,1.83271,0.0016535,0.0016535,0.0016535
9,3624.45,1.69049,1.69,1.71937,0.60628,0.568,0.55216,0.23426,1.69093,3.7189,1.76018,0.001604,0.001604,0.001604
10,4011.73,1.65571,1.58898,1.6889,0.59954,0.61084,0.57491,0.25349,1.64427,2.23506,1.81917,0.0015545,0.0015545,0.0015545
11,4361.74,1.60561,1.53379,1.67987,0.64864,0.584,0.61777,0.28773,1.53124,2.93654,1.67206,0.001505,0.001505,0.001505
12,4723.37,1.56703,1.47431,1.61602,0.606,0.56603,0.55361,0.25073,1.6217,2.03206,1.74869,0.0014555,0.0014555,0.0014555
13,5106.29,1.52586,1.39717,1.59554,0.60483,0.68,0.66553,0.31096,1.5313,2.07607,1.60834,0.001406,0.001406,0.001406
14,5454.13,1.49476,1.34625,1.58158,0.67284,0.648,0.65034,0.32283,1.52199,2.1118,1.64461,0.0013565,0.0013565,0.0013565
15,5803.17,1.49614,1.31924,1.57586,0.72232,0.68,0.65265,0.29784,1.5361,2.04495,1.67324,0.001307,0.001307,0.001307
16,6251.17,1.49139,1.33127,1.56163,0.72394,0.616,0.67948,0.31493,1.6108,2.51909,1.73158,0.0012575,0.0012575,0.0012575
17,6719.26,1.47648,1.26569,1.54732,0.63984,0.58272,0.54407,0.24783,1.5839,2.35671,1.69826,0.001208,0.001208,0.001208
18,7235.66,1.44191,1.24032,1.53481,0.71387,0.59879,0.63888,0.31589,1.50951,2.01389,1.65558,0.0011585,0.0011585,0.0011585
19,7677.01,1.42993,1.19532,1.51559,0.67576,0.63358,0.64369,0.30389,1.4984,2.15809,1.64816,0.001109,0.001109,0.001109
20,8024.74,1.41073,1.20311,1.49802,0.76277,0.624,0.69914,0.34641,1.48231,1.55178,1.62718,0.0010595,0.0010595,0.0010595
21,8438.45,1.3782,1.13785,1.49728,0.71968,0.71888,0.71296,0.35483,1.52424,1.46121,1.6865,0.00101,0.00101,0.00101
22,8870.89,1.35056,1.14747,1.47791,0.6532,0.73836,0.70292,0.35603,1.48581,1.74692,1.65292,0.0009605,0.0009605,0.0009605
23,9272.72,1.32085,1.0703,1.44411,0.73687,0.73931,0.70415,0.36476,1.48619,1.57637,1.68333,0.000911,0.000911,0.000911
24,9663,1.34161,1.0826,1.45147,0.64144,0.72,0.70277,0.36898,1.48795,1.98499,1.66707,0.0008615,0.0008615,0.0008615
25,10013.5,1.31054,1.07467,1.43899,0.73164,0.71975,0.69427,0.3688,1.4864,1.86284,1.64646,0.000812,0.000812,0.000812
26,10427.9,1.31591,1.05636,1.42614,0.71383,0.696,0.71154,0.36852,1.49778,1.52136,1.66854,0.0007625,0.0007625,0.0007625
27,10781.4,1.2298,0.96672,1.37883,0.72264,0.77123,0.74179,0.37809,1.465,1.29743,1.64396,0.000713,0.000713,0.000713
28,11128.7,1.26027,1.01944,1.39308,0.71882,0.77718,0.74854,0.39014,1.47965,1.5113,1.63473,0.0006635,0.0006635,0.0006635
29,11479.2,1.22353,0.96886,1.36793,0.73471,0.728,0.73871,0.37128,1.44961,1.53194,1.64492,0.000614,0.000614,0.000614
30,11893.7,1.20923,0.93458,1.35273,0.71277,0.73456,0.72998,0.39169,1.4168,1.29517,1.5866,0.0005645,0.0005645,0.0005645
31,12328.1,1.13513,0.77812,1.35763,0.64948,0.74119,0.72069,0.39891,1.40705,1.76705,1.59897,0.000515,0.000515,0.000515
32,12764.8,1.10267,0.73771,1.33609,0.70171,0.752,0.70698,0.36997,1.4396,1.30601,1.64532,0.0004655,0.0004655,0.0004655
33,13198.7,1.05832,0.69753,1.28,0.77876,0.736,0.72185,0.38294,1.47722,1.15004,1.67153,0.000416,0.000416,0.000416
34,13606.7,1.04167,0.6821,1.27588,0.74257,0.72,0.73416,0.36795,1.45577,1.25488,1.67285,0.0003665,0.0003665,0.0003665
35,13954.2,0.99764,0.64941,1.24751,0.77157,0.75664,0.7511,0.3817,1.45199,1.22307,1.65241,0.000317,0.000317,0.000317
36,14717,0.99502,0.65611,1.23967,0.72372,0.75443,0.7196,0.37858,1.43312,1.3592,1.61966,0.0002675,0.0002675,0.0002675
37,15172,0.94414,0.60952,1.20996,0.72301,0.736,0.71714,0.37407,1.44768,1.21846,1.63846,0.000218,0.000218,0.000218
38,15600.9,0.94526,0.60152,1.21121,0.71678,0.752,0.74009,0.37616,1.43369,1.19511,1.63345,0.0001685,0.0001685,0.0001685
39,16047.8,0.89785,0.57924,1.17643,0.79552,0.696,0.72646,0.38205,1.46039,1.15828,1.67758,0.000119,0.000119,0.000119
40,16409,0.89141,0.57907,1.16217,0.72115,0.664,0.70856,0.37415,1.43555,1.18715,1.66722,6.95e-05,6.95e-05,6.95e-05
