epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,796.857,1.93425,2.88897,1.97966,0.46408,0.328,0.31687,0.13329,1.74954,11.1102,1.96188,0.000661578,0.000661578,0.000661578
2,1723.21,1.96943,2.18738,1.98776,0.13469,0.264,0.08525,0.02702,2.32005,52.269,2.62276,0.00129537,0.00129537,0.00129537
3,2679.23,2.00405,2.29866,2.03449,0.34334,0.4,0.32116,0.12048,1.88309,23.6905,2.19445,0.00189616,0.00189616,0.00189616
4,5077.7,1.97455,2.16897,1.9574,0.42332,0.376,0.37315,0.13874,1.72711,16.0782,1.87536,0.0018515,0.0018515,0.0018515
5,5925.24,1.89233,2.04889,1.94318,0.47447,0.416,0.34589,0.12909,1.83,3.56484,1.98272,0.001802,0.001802,0.001802
6,6732.21,1.88761,2.02079,1.93123,0.38877,0.512,0.39921,0.15879,1.73654,9.06872,1.91578,0.0017525,0.0017525,0.0017525
7,7538.27,1.82415,1.77488,1.84206,0.5642,0.512,0.50805,0.19613,1.7964,3.59787,1.958,0.001703,0.001703,0.001703
8,8344.64,1.73252,1.72651,1.78748,0.51037,0.52,0.48579,0.22505,1.67962,3.20117,1.80621,0.0016535,0.0016535,0.0016535
9,9149.19,1.72705,1.68644,1.75807,0.65671,0.576,0.55451,0.2164,1.70893,4.09823,1.8532,0.001604,0.001604,0.001604
10,9998.24,1.70386,1.6239,1.7499,0.6651,0.584,0.59173,0.25741,1.7141,2.64241,1.86848,0.0015545,0.0015545,0.0015545
11,10945.6,1.65241,1.53841,1.71368,0.60987,0.672,0.6285,0.27735,1.6442,2.48412,1.72963,0.001505,0.001505,0.001505
12,11825.9,1.61583,1.47723,1.65781,0.57338,0.61287,0.55413,0.22909,1.66464,2.82696,1.73578,0.0014555,0.0014555,0.0014555
13,12792.4,1.54899,1.3829,1.59266,0.7435,0.632,0.67458,0.32572,1.57435,1.7983,1.70633,0.001406,0.001406,0.001406
14,15406.2,1.5472,1.3673,1.62458,0.69162,0.616,0.66051,0.2892,1.65125,2.19234,1.77785,0.0013565,0.0013565,0.0013565
15,25997.2,1.5288,1.34403,1.60469,0.68607,0.61193,0.62869,0.29296,1.62797,2.57192,1.78455,0.001307,0.001307,0.001307
16,787.614,1.53604,1.36172,1.59405,0.56766,0.648,0.54713,0.24402,1.66405,4.06513,1.81853,0.0012575,0.0012575,0.0012575
17,1988.68,1.49504,1.28976,1.56963,0.76267,0.672,0.70804,0.32796,1.5598,1.64222,1.70215,0.001208,0.001208,0.001208
18,3781.76,1.41882,1.21856,1.52498,0.72736,0.57626,0.66812,0.32959,1.51602,1.72582,1.66188,0.0011585,0.0011585,0.0011585
19,4683.77,1.42197,1.18398,1.50818,0.71274,0.67489,0.73143,0.35863,1.5245,1.52329,1.66947,0.001109,0.001109,0.001109
20,5514.9,1.43734,1.20647,1.53747,0.68202,0.72,0.73226,0.3265,1.6082,1.70486,1.75172,0.0010595,0.0010595,0.0010595
21,6325.51,1.38555,1.14112,1.49406,0.78186,0.648,0.72906,0.34296,1.52599,1.85735,1.70164,0.00101,0.00101,0.00101
22,7170.58,1.34546,1.06421,1.46847,0.63568,0.736,0.69839,0.32959,1.49742,1.87608,1.62892,0.0009605,0.0009605,0.0009605
23,7988.67,1.2934,1.0346,1.43575,0.70364,0.64,0.68135,0.31313,1.59583,1.80897,1.74325,0.000911,0.000911,0.000911
24,10241.8,1.30119,1.07049,1.45012,0.6703,0.66687,0.69077,0.32479,1.55275,1.76997,1.71351,0.0008615,0.0008615,0.0008615
25,28698.1,1.27031,0.9987,1.4236,0.65758,0.67599,0.68889,0.34975,1.51667,1.58594,1.67106,0.000812,0.000812,0.000812
26,30701.5,1.2508,0.97039,1.40996,0.67997,0.656,0.65158,0.30043,1.56432,1.80679,1.72612,0.0007625,0.0007625,0.0007625
27,31658,1.21006,0.92707,1.37319,0.68351,0.63927,0.68736,0.31947,1.60945,1.92704,1.75306,0.000713,0.000713,0.000713
28,32453.7,1.17269,0.89101,1.34202,0.65009,0.696,0.70933,0.35789,1.52646,1.57878,1.68277,0.0006635,0.0006635,0.0006635
29,34473.3,1.16091,0.88443,1.35694,0.71349,0.648,0.68367,0.3334,1.55609,1.9684,1.76419,0.000614,0.000614,0.000614
30,35279.8,1.12943,0.86144,1.34388,0.71677,0.672,0.70833,0.35972,1.5418,2.12153,1.7518,0.0005645,0.0005645,0.0005645
31,36087.3,1.14337,0.78841,1.36786,0.67863,0.648,0.67887,0.34179,1.50505,1.65835,1.65738,0.000515,0.000515,0.000515
32,36888.5,1.08557,0.68578,1.31977,0.77901,0.62044,0.70344,0.36539,1.48072,1.42778,1.64043,0.0004655,0.0004655,0.0004655
33,37797.2,1.06373,0.68383,1.31258,0.7145,0.68073,0.70099,0.36784,1.51692,1.32205,1.66926,0.000416,0.000416,0.000416
34,38654.6,1.02231,0.65876,1.2795,0.70308,0.68196,0.711,0.36761,1.50501,1.30201,1.6824,0.0003665,0.0003665,0.0003665
35,39649.2,1.00322,0.64626,1.26893,0.72003,0.704,0.72075,0.37327,1.48858,1.3091,1.66322,0.000317,0.000317,0.000317
36,40645.5,0.9479,0.61269,1.21873,0.71317,0.712,0.69569,0.36601,1.4732,1.40841,1.67137,0.0002675,0.0002675,0.0002675
37,41621.8,0.92621,0.58533,1.19176,0.73962,0.696,0.70949,0.37545,1.45975,1.29568,1.66901,0.000218,0.000218,0.000218
38,42550.2,0.90779,0.56694,1.1945,0.71482,0.664,0.70884,0.3815,1.50051,1.40353,1.71467,0.0001685,0.0001685,0.0001685
39,43474.8,0.87606,0.54847,1.177,0.70889,0.64,0.68567,0.37243,1.48153,1.49033,1.70018,0.000119,0.000119,0.000119
40,44313.6,0.85296,0.53386,1.14954,0.73229,0.67838,0.70369,0.37112,1.47261,1.2989,1.69182,6.95e-05,6.95e-05,6.95e-05
